"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減","12/24成交量(張)","12/23成交量(張)"
="2633","台灣高鐵","29.4","+0.17","+0.17","+0.86","-1.18","-1.84","-1.84","-2.16","29.45","29.45","29.85","30.7","30.7","31.1","31.8","29.25","29.15","29.1","29.1","28.2","28.2","26.8","+5.21","-21.9","+0.01","+0.24","2,095","1,988"
="2634","漢翔","29.4","+0.17","+1.03","+1.03","-0.51","-3.76","+4.26","-0.34","29.7","29.7","29.7","30.85","30.85","31.2","32.1","29","28.85","28.85","28.8","27.8","27.2","25.45","-6.87","-12.7","0","0","801","1,352"
="2801","彰銀","16.75","+0.3","+0.3","+0.9","-0.3","-2.05","+1.82","+4.04","16.8","16.8","17","17.2","17.4","17.4","18.3","16.65","16.55","16.55","16.4","16.2","16","15.95","+8.07","-15.9","-0.05","-0.05","4,102","5,014"
="2809","京城銀","40.35","0","+1.38","+2.28","+0.88","-1.71","-3.35","+1.77","40.5","40.5","40.5","41.25","42.65","44.6","44.6","39.7","39.3","39.25","39.25","39.25","39.25","37.6","-26.7","-29.2","-1.36","-19.3","2,840","12,692"
="2812","台中銀","12.05","0","+0.42","0","0","-0.41","+4.33","+4.33","12.1","12.1","12.1","12.15","12.25","12.25","12.25","12","12","11.95","11.9","11.45","11.35","10.65","+3.95","+6.78","+1.68","+15.3","3,100","2,354"
="2820","華票","17","+0.29","0","+0.59","-2.3","-1.73","+5.59","+4.94","17.1","17.15","17.35","17.45","18.05","18.05","18.05","16.8","16.8","16.8","16.8","15.7","15.7","14.65","-27.2","-35.2","0","0","277","1,281"
="2834","臺企銀","9.78","+0.31","+0.82","+1.35","+0.41","-1.21","+1.98","+3.6","9.82","9.82","9.82","9.95","10.05","10.05","10.3","9.7","9.62","9.62","9.6","9.41","9.39","9.1","-12.1","-20","+0.02","+0.02","16,599","10,641"
="2838","聯邦銀","13.05","0","0","-0.38","+0.38","+6.53","+11.1","+12","13.15","13.15","13.4","13.4","13.4","13.4","13.4","13","13","12.9","12.05","11.65","11.55","10.3","+9.26","+10.7","0","0","1,185","846"
="2845","遠東銀","10.7","0","+0.94","+1.9","+0.47","0","+1.9","+1.42","10.75","10.75","10.75","10.75","10.9","11.15","11.2","10.6","10.5","10.5","10.4","10.35","10.3","10.2","+7.92","+0.55","0","0","4,568","2,817"
="2867","三商壽","9.15","+0.55","+0.22","+0.33","-0.97","-3.89","-1.08","-2.97","9.19","9.19","9.25","9.57","9.6","9.6","10.9","9.09","9.09","9.09","9.09","9.05","8.93","7.96","-18.6","-18.1","-0.01","0","2,475","2,767"
