"代號","名稱","成交","漲跌幅","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","5日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","21W46外資買賣超張數","21W46外資買賣超佔成交(%)","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價"
="6118","建達","28.8","+8.07","14.05","12.4","12.2","10.15","+34.3","+105","+118","+139","+181","+302","+0.41","30","30","30","30"
="6138","茂達","233.5","+8.86","159.5","140.5","121","78.2","+29.7","+49.7","+52.6","+88.3","+183","+904","+4.55","235.5","235.5","235.5","235.5"
="6174","安碁","36.35","+1.54","25.65","19.45","15.85","11.15","+20.2","+42.5","+79.1","+128","+220","-54","-0.61","38","38","38","38"
="6182","合晶","68.9","+1.03","56.8","54.5","42.7","33.2","-1.01","+21.3","+14.3","+51.3","+106","+2,484","+1.29","71","74.4","76.3","76.3"
="6191","精成科","37.75","+0.4","32.2","30","28.7","22.85","-0.26","","+15.1","+26.5","+61","+3,563","+21.9","38.55","38.55","41","41"
="6196","帆宣","154","+0.33","113","104","94.2","87","+22.7","+37.5","+40","+60.2","+40","+4,903","+8.07","165","165","165","165"
="6208","日揚","53","+0.95","41.65","39.3","38.55","35.65","+11.2","+26.6","+30.9","+35.5","+39.5","+500","+9.23","56.9","56.9","56.9","56.9"
="6265","方土昶","11.8","-4.07","10.15","9.64","7.65","6.48","+7.76","+11.3","+15.1","+51.3","+80.7","+1,846","+20.3","12.85","12.85","12.85","12.85"
="6271","同欣電","304.5","+1.33","235","208","159","138","+5.73","+29.6","+20.1","+90.9","+116","-33","-0.06","306","306","306","306"
="6282","康舒","37.3","+0.13","27.1","25.05","24.8","22.5","+0.54","+38.4","+41.3","+48.9","+41.8","-4,267","-1.8","39.55","39.55","39.55","39.55"
="6457","紘康","208","-0.24","151","139","139","63.8","+24.6","+37.3","+35.5","+38.2","+224","+1,876","+13.6","213","213","213","215"
="6533","晶心科","583","-0.34","441","351.5","351.5","196.5","+13.2","+31.3","+20.3","+55.1","+192","+305","+3.54","624","624","642","644"
="8040","九暘","81.6","-1.45","53.2","49.05","39.2","15.7","+22","+55.4","+37.1","+104","+416","-50","-0.12","87.6","87.6","87.6","87.6"
="8044","網家","149.5","+3.82","117.5","102.5","95.1","77.3","0","+27.8","+38.4","+36.5","+65.2","-38","-0.13","157.5","157.5","157.5","157.5"
="8046","南電","560","-0.18","423","355.5","291.5","135","+0.9","+35.9","+49.9","+84.5","+289","+2,881","+7.3","591","591","591","591"
="8069","元太","97","+4.3","79.7","64.2","55.8","39","+7.3","+20.5","+25.8","+70.8","+149","+17","+0.02","99.8","99.8","99.8","99.8"
="8103","瀚荃","50.4","+2.23","41.35","37.75","35.8","30.7","+1.92","+20","+15.6","+37","+64.7","+1,633","+9.23","51.8","51.8","51.8","52.1"
="8182","加高","60.9","+9.93","41.8","40.2","30.65","26.05","+24.9","+45.9","+34.1","+94.6","+123","-72","-0.38","60.9","60.9","60.9","60.9"
="8201","無敵","17.65","+1.73","15.05","11.25","9.3","8.74","-0.56","+17.3","+52.2","+89.6","+91","-326","-2.19","19.3","19.3","19.3","19.3"
="8289","泰藝","38.65","+4.6","29.2","26.2","16","11.3","+28.2","+30.8","+36.1","+139","+238","+569","+4.03","39.8","39.8","39.8","39.8"
