"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6167","久正","13.1","-1.5","-6.43","-7.42","+1.95","-7.42","+32.6","+46.2","+55","+84.5","9.77","8.53","8.28","7.02","15.3","15.3","15.3","15.3","-0.27","1.95","",""
="6182","合晶","84.6","-4.3","+0.36","+1.56","-0.94","+6.15","+23.9","+26.3","+53.5","+85.1","66.3","54.5","52.7","37.6","89.5","89.5","89.5","89.5","1.42","0.13","-0.31","-1.98"
="6190","萬泰科","39","-3.35","+6.27","+16.8","+14.7","+24.4","+40.5","+67.4","+57.3","+132","26","22.25","21.85","16.55","42.2","42.2","42.2","42.2","0.93","0.24","+4.44","+2.85"
="6191","精成科","39.65","-4.69","+2.32","+3.26","+5.17","+3.39","+6.44","+25.7","+22","+42.6","35.7","30","30","23.2","42.05","42.05","42.05","42.05","-6.55","-6.08","-0.02","+0.15"
="6196","帆宣","160.5","+2.88","+4.9","+2.56","+5.25","+6.29","+36","+39","+53.6","+37.2","123.5","104","101","87","169","169","169","169","6.48","4.34","-0.41","-2.33"
="6205","詮欣","63.3","+2.76","+2.1","+2.26","+15.1","+27.7","+49.3","+111","+110","+32.6","41.55","29.6","28.5","27.15","67.8","67.8","67.8","67.8","1.05","0.89","+3.15","+3.23"
="6217","中探針","57.1","0","+6.93","+7.13","+10.2","+4.2","-4.19","+28.6","+58.4","+63.8","51.7","43.2","35.3","28.85","61.3","65.3","65.3","65.3","-8.08","-3.79","-8.29","-12.4"
="6226","光鼎","16.25","-0.91","+1.25","+0.31","+6.91","+7.26","+7.26","+13.2","+79.8","+80","14.2","11.9","8.6","7.6","16.9","18.3","20.3","20.3","0.93","-1.66","+2.9","+0.75"
="6235","華孚","29.5","-0.67","+0.34","+5.17","+17.3","+41.5","+53.2","+71","+61.2","+59.5","18.6","15.8","15.8","15.3","31","31","31","31","3.16","2.64","+0.86","+3.9"
="6239","力成","97.2","-0.61","+0.31","+0.41","-0.92","-1.62","-0.72","-12.4","-7.87","-3.28","96","93.5","93.5","92","102","112.5","116","117","-30.8","-41.6","0","+0.28"
="6243","迅杰","70.7","+9.95","+10.8","+0.14","-0.42","+27.6","+51.2","+251","+313","+418","43.2","15.7","15.65","12.65","76.7","76.7","76.7","76.7","3.11","1.96","+2.7","+3.83"
="6244","茂迪","35.8","+0.99","+4.22","+3.32","+7.51","-1.38","+3.77","+25.4","+11.7","+3.47","31","27.6","27.25","25.95","37.95","37.95","37.95","43.25","0","-1.09","",""
="6251","定穎","22.85","+1.33","+3.63","+2.47","+3.39","+4.82","+5.79","-2.14","+11.5","+19.6","20.1","18.5","18.5","15.75","23.8","24.1","25.4","25.4","7","6.76","+0.02","-0.09"
="6257","矽格","58.7","-2.33","-2.49","-2.49","-2","-3.29","-2.49","-9.13","+11.2","+25.8","57.2","53.5","53","43.65","64.5","65.5","72.7","72.7","-14.3","-4.47","-0.07","-0.12"
