"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="2885","元大金","25.1","-0.2","+1.01","+1.41","+3.08","+2.45","+1.41","+7.49","+2.66","+31.8","23.7","23.3","23.15","18.9"
="2886","兆豐金","34.7","+1.46","+1.46","+2.21","+2.66","+3.74","+5.95","+10.9","+8.1","+17","32.75","31.05","30.6","28.15"
="2887","台新金","19.3","+0.26","+3.21","+4.04","+4.61","+6.04","+3.76","+14.2","+34.5","+44.6","18.05","16.8","14.4","12.5"
="2888","新光金","11.55","+6.45","+13.8","+14.4","+16.9","+18.6","+17.9","+28","+26","+33.5","9.68","8.93","8.93","8.03"
="2889","國票金","16.4","+2.5","+3.47","+3.8","+4.13","+3.47","+2.5","+3.47","-1.8","+35.5","15.65","15.45","15.45","11.9"
="2890","永豐金","15.2","+1.33","+3.05","+3.4","+5.92","+7.42","+8.57","+11.4","+16","+35.7","13.9","13.4","13.05","10.95"
="2891","中信金","24.75","+1.23","+2.91","+3.12","+4.87","+6.45","+7.61","+15.9","+11","+23.8","22.95","21.05","21.05","19"
="2892","第一金","24","+0.63","+1.69","+2.13","+3.67","+4.58","+5.26","+4.35","+11.4","+10.1","22.65","21.95","21.35","20.2"
="2897","王道銀行","8.17","+0.62","+2.64","+3.03","+3.42","+4.08","+3.03","+19.6","+19.6","+23.8","7.77","6.8","6.8","6.46"
="3003","健和興","99.9","+1.63","+2.36","-0.6","+6.05","+3.63","+7.42","+14.2","+62.7","+140","92.8","79.6","62.7","41.05"
="3016","嘉晶","130","+1.96","+12.1","+23.2","+32.7","+27.5","+39.5","+66.5","+110","+110","92.3","75.8","60.8","54.7"
="3017","奇鋐","83.5","+1.21","+1.83","+2.83","-6.6","+4.24","+10.4","+19.6","+37.1","+10.4","74.9","68.3","62","52.5"
="3037","欣興","192.5","-2.78","-1.28","-1.79","-1.28","+1.32","+36","+46.9","+103","+155","140","115","96.6","74.6"
="3041","揚智","38.5","+2.39","+12.6","+23.8","+34.6","+38.2","+48.6","+48.1","+65.2","+32.1","25.7","22.7","22.7","20.6"
="3062","建漢","34.7","-1.98","-0.29","+7.26","+18.6","+30","+85.1","+104","+119","+131","18.9","16.75","15.95","14.55"
