"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6126","信音","28.8","+2.13","-1.54","+4.73","+7.46","+3.78","+7.66","+16.6","+17.3","+15","25.95","23.4","22.15","21.15","30","32.6","32.6","34.95","2.04","4.74","+0.25","+0.13"
="6138","茂達","255","+0.39","-4.85","-0.97","-4.32","+7.14","+41.7","+46.6","+84.8","+195","173","140.5","134.5","78.2","278.5","278.5","278.5","278.5","0.12","-2.71","-0.45","-3.93"
="6167","久正","12.9","+0.39","+0.78","+0.39","-10.7","+15.7","+38.1","+45.6","+52.3","+79.7","9.31","8.41","8.26","7","15","15","15","15","-1.42","1.03","",""
="6175","立敦","48.1","-0.1","-1.03","-3.02","+5.02","+8.82","+8.58","-0.93","+35.9","+73.6","41.8","39.05","34.2","26.65","50.8","53.5","59.6","59.6","-11.5","-0.74","-1.37","+1.84"
="6182","合晶","86.5","+1.29","-0.23","+5.75","+12","+28.5","+34.9","+20.1","+68","+103","64.1","54.5","49.3","37.6","88.4","88.4","88.4","88.4","0.9","0.52","+1.62","+3.72"
="6190","萬泰科","34","0","-8.48","-9.21","-1.31","+25.5","+34.7","+36.3","+38.8","+101","25.3","22.25","21.85","16.55","39.7","39.7","39.7","39.7","0.14","-0.09","+6.75","+29.5"
="6191","精成科","38.65","+2.52","+1.18","+2.66","+3.48","+3.9","+4.88","+16.6","+22.9","+57.8","35.7","30","30","23.2","39.3","39.3","41","41","9.99","10.4","+0.07","+0.17"
="6196","帆宣","156","+2.3","+0.65","+2.97","+7.59","+4.35","+34.5","+32.2","+52.9","+39.3","115","104","99","87","165","165","165","165","-3.41","5.82","-1.82","+1.15"
="6205","詮欣","58.4","+6.18","+2.46","+5.23","+15.4","+16.1","+45.3","+91.2","+91.2","+21","40.55","29.6","28.5","27.15","60.4","60.4","60.4","60.4","-3.27","-1.38","-0.48","+2.41"
="6217","中探針","52.6","+1.54","-2.77","-3.31","-1.5","-6.57","-12.6","+7.46","+50.5","+54.7","51.7","42.05","34.1","28.85","64.5","65.3","65.3","65.3","-2.06","-1.19","-24.3","-24.8"
="6235","華孚","25.5","+1.39","+6.69","+17.2","+25","+35.3","+35.3","+40.5","+40.5","+44.9","18.55","15.8","15.8","15.3","26.3","26.3","26.3","26.3","0.59","0.47","+2.78","+3"
="6239","力成","96.2","-1.94","-2.93","-2.93","-1.23","-2.43","-0.62","-14.5","-8.38","-3.02","96.1","93.5","93.5","92","102","112.5","116","117","-48.5","-18.9","+0.16","-2.28"
="6243","迅杰","70","-1.41","+8.36","+19","+26.4","+57.3","+49.1","+221","+323","+447","41.85","15.7","15.65","12.65","72.2","72.2","72.2","72.2","3.67","1.89","+7.88","+9.13"
="6251","定穎","22.55","+2.04","+0.67","+2.73","+8.15","+2.97","+1.81","-8.33","+15.1","+16.2","20.1","18.5","18.5","15.75","23","25.4","25.4","25.4","6.64","12.3","-0.2","+0.05"
="6257","矽格","60","+0.17","-0.17","+1.18","+1.69","-3.07","+1.87","-10.7","+14.3","+32.9","57.2","53.5","52","43.65","64.5","68.1","72.7","72.7","8.58","5.95","+0.16","+0.17"
="6265","方土昶","19.1","+9.77","+20.5","+21.7","+14.4","+34.5","+74.4","+69.8","+129","+183","10.8","9.64","8","6.72","19.1","19.1","19.1","19.1","1.01","0.86","+5.67","+2.2"
="6271","同欣電","295.5","+1.37","-0.51","-3.59","-3.59","-3.59","+10.7","+13.2","+64.6","+44.1","266","208","175","145","323.5","323.5","323.5","323.5","4.13","6.84","-3","+0.49"
="6275","元山","33.35","+0.91","-3.05","-2.2","-1.62","-2.2","+6.55","+13.2","+7.23","+55.5","29.95","26.5","26.5","21.2","35.6","35.6","35.6","38","-6.2","-5.75","-1.46","-3.35"
="6278","台表科","118.5","+2.16","0","+0.85","+1.28","-3.27","+6.28","+5.33","-1.25","-7.78","109","97.1","97.1","91.1","127.5","127.5","138.5","139","0.54","2.73","0","+0.02"
="6282","康舒","33.15","+2.47","-0.3","-5.29","-3.63","-7.66","-0.45","+21.7","+26","+11.8","32.25","26.2","25.05","22.5","39.55","39.55","39.55","39.55","-2.26","-1.12","-2.49","-1.33"
="6411","晶焱","278","+4.32","0","-0.18","+8.81","+4.91","+22.5","+66.5","+117","+208","206","156","122","88.8","302","302","302","302","5.22","3.79","+2.75","+5.07"
="6414","樺漢","232","-2.52","-3.93","-4.92","+4.74","+8.92","+9.43","+15.4","+12.3","-1.07","207.5","176","176","176","251","251","251","284.5","3.38","6.05","+0.27","+0.27"
="6446","藥華藥","243.5","+1.46","+2.96","+7.98","+24.9","+41.2","+151","+168","+188","+151","90.1","69","69","69","249.5","249.5","249.5","249.5","-8.66","-7.31","",""
="6485","點序","165","+0.61","-0.6","+1.54","+7.84","+7.14","+28.4","+5.1","+47.3","+457","123","100","100","28.75","176.5","176.5","191","191","-0.25","-0.4","-2.72","-5.8"
