"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價"
="2376","技嘉","143","+1.78","+5.15","+5.54","+2.88","+16.3","+33.6","+65.5","+26.5","+91.4","103","80.5","80.5","74.6"
="2412","中華電","114.5","+0.44","+1.33","+1.78","+2.23","+3.62","+3.15","-2.55","+1.78","+4.09","110","109","109","108"
="2436","偉詮電","108.5","-1.36","+0.46","+5.85","+27.6","+34.1","+48.4","+52.4","+86.1","+239","72.1","67.5","55.3","32.05"
="2476","鉅祥","63","-1.25","+0.32","+5.53","+1.45","0","+7.14","+18.6","+96.9","+227","55.9","46.8","30.3","19.15"
="2484","希華","42.3","+1.68","+9.16","+20","+23.3","+24.8","+37.6","+22.3","+69.2","+102","30.9","28.45","24.9","20.95"
="2527","宏璟","34.85","+1.9","+6.09","+13.7","+12.1","+12.8","+11.3","+25.1","+53.5","+90.4","29.5","25.7","22.1","18"
="2537","聯上發","10.55","-2.31","-4.09","+3.94","+3.43","+7.43","+12.6","+11.1","+19.3","+7.65","9.37","9.11","8.66","7.92"
="2542","興富發","46.5","-0.64","-2.41","-2.72","+2.31","+3.68","+4.14","-3.93","+11.1","+7.14","44.4","44.15","41.25","40.4"
="2610","華航","29","+7.01","+9.85","+13.5","+25","+51.8","+73.1","+70.6","+83","+220","16.05","15.4","14.95","9.04"
="2618","長榮航","29.25","+4.46","+9.35","+10.8","+13.6","+41.3","+57.7","+58.1","+91.2","+142","18.1","17.05","14.7","11.9"
="2633","台灣高鐵","29.2","+0.17","+0.17","0","-0.17","+0.69","-0.34","-0.34","+2.46","-7.45","28.8","28.2","27.9","26.8"
="2634","漢翔","30","+0.67","+3.45","+2.56","+3.63","+4.71","+6.19","+1.87","+11.7","+5.08","27.85","27.2","26.6","25.45"
="2801","彰銀","17","+0.59","+0.59","+1.19","+2.41","+2.72","+2.72","+1.19","+3.03","-5.56","16.4","16.1","15.95","15.95"
="2812","台中銀","12.05","+0.42","+0.42","+0.42","+0.84","+0.42","+2.99","+1.26","+7.11","+9.55","11.65","11.35","11.15","10.65"
="2823","中壽","30.95","+2.65","+2.65","+4.56","+6.91","+7.09","+3.51","+8.6","+30.9","+52.1","28.75","28.05","23.35","20.15"
="2834","臺企銀","9.74","+1.46","+1.35","+2.31","+2.53","+2.53","+2.53","+0.93","+4.06","-1.52","9.45","9.39","9.3","9.1"
="2845","遠東銀","10.75","+1.42","+1.42","+1.9","+1.9","+2.38","+2.87","+0.47","+3.37","0","10.4","10.3","10.25","10.2"
="2880","華南金","21.1","+0.72","+0.96","+1.69","+2.43","+3.43","+3.94","+6.84","+17.9","+14.1","20.2","19.4","17.8","17.15"
="2882","國泰金","62.2","+3.67","+4.19","+5.6","+6.14","+7.99","+5.96","+14.3","+14.5","+49.9","57.3","53.2","51.5","39.9"
="2883","開發金","16.95","+8.31","+8.65","+10.8","+18.1","+19.8","+19.4","+24.6","+41.8","+95.7","14.05","12.9","11.7","8.61"
="2884","玉山金","27.95","+0.18","0","+1.27","+2.19","+4.68","+6.68","+3.52","+10","+7.09","26.15","25.8","25.15","23.6"
="2885","元大金","25.15","+1.21","+1.62","+2.65","+2.86","+2.65","+0.8","+5.23","+3.29","+33.1","23.7","23.15","23.15","18.85"
="2886","兆豐金","34.2","0","+0.74","+0.88","+0.59","+2.4","+3.79","+8.74","+6.54","+16.1","32.7","31.05","30.6","28.15"
="2887","台新金","19.25","+2.94","+3.77","+4.34","+5.19","+6.06","+3.22","+13.2","+35.1","+44.7","18.05","16.8","14.15","12.5"
