"代號","名稱","成交","漲跌幅","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","3日最高股價","5日最高股價","10日最高股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","3日最低股價","5日最低股價","10日最低股價","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="8054","安國","64.4","-1.23","-7.2","+1.74","-3.45","+20.4","+20.8","+46.5","+189","70.2","70.2","70.2","72","72","73.7","73.7","64.2","64.1","58.9","53","38.6","38.6","19.75","-4.8","-0.45","-0.72","-0.28"
="8064","東捷","21.55","-0.23","+0.47","+3.36","-1.15","+7.75","-8.3","+23.1","+43.7","22.35","22.35","22.35","24","24","24.8","24.8","21.55","20.95","19.85","19.85","17.2","17.15","13.75","9.29","15","-0.04","-0.14"
="8069","元太","131.5","-1.13","+6.91","+11.4","+6.05","+45.5","+70.1","+105","+212","138","138","138","138","138","138","138","122.5","119","114","89.3","64.2","63.2","42","0.32","-0.69","+2.01","+2.31"
="8103","瀚荃","49.5","-1.39","-1.59","+4.54","+3.12","+2.7","+22.7","+13.8","+53","50.9","50.9","50.9","53.7","53.7","53.7","53.7","49.2","47.7","46","46","37.75","37.75","31.3","2.94","6.11","-0.39","-0.44"
="8104","錸寶","69","+5.5","+27.5","+25.9","+38.4","+44.2","+35.3","+42.4","+31.2","71.5","71.5","71.5","71.5","71.5","71.5","71.5","56.3","53.8","47.5","46.4","44.2","44.2","41.4","0.63","0.29","+31.1","+55"
="8111","立碁","28.75","+2.13","+18.8","+32.5","+29.8","+51.3","+62.4","+40.9","+66.7","29.6","29.6","29.6","29.6","29.6","29.6","29.6","24.75","21.75","20.5","19","15.25","15.25","15.25","-1.18","-0.92","+7.65","+7.24"
="8112","至上","47.65","+1.38","+6.12","+7.44","+7.08","+9.29","+8.05","+20.2","+38.5","48","48","48","48","48","48","49.3","46.2","44.5","43.05","43.05","41.35","39.25","33.7","20.6","19.5","+0.33","+0.31"
="8121","越峰","57","+2.7","+1.06","+5.56","+0.18","+18.6","+79.8","+251","+206","57.3","57.9","58.7","58.7","58.7","58.7","58.7","55","54.2","50.2","45.1","30.5","16.45","13.75","11.1","12.7","",""
="8155","博智","134","-0.37","+5.1","+6.77","-4.63","-5.96","+16","+23.5","-7.59","137","137","140","160","160.5","160.5","160.5","127.5","125.5","124.5","124.5","111.5","94.1","85.3","-10.2","-17.6","+0.19","-0.19"
="8163","達方","48.3","-1.43","-1.83","-0.72","+4.77","+11.3","+12.5","+8.66","+5","50.5","50.5","50.5","50.5","50.5","50.5","52.9","48","48","44.3","42.45","38.7","38.7","37.85","6.01","-0.99","-0.38","-0.85"
="8182","加高","58.1","-3.01","+8.19","+2.29","+0.17","+27.7","+18.3","+51.9","+96.9","60.5","60.5","61","64.5","64.5","64.5","64.5","53.7","53.7","53.7","45.5","40.2","38.05","26.05","-1.26","-1.42","+5.95","+4.21"
="8183","精星","66.9","-0.89","-7.34","-3.6","+5.35","+45.4","+58.2","+57.6","+244","71.5","72.3","73","73","73","73","73","66.9","66.9","58.7","45.05","34.15","34.15","18","-0.97","0.81","-1.03","-1.67"
="8201","無敵","17.55","+0.57","+2.63","+3.85","+1.15","-1.68","-1.4","+78.4","+77.3","19","19","19","19.25","19.3","19.3","19.3","17.1","16.9","15.95","15.95","13.65","9.51","8.74","0.01","0.36","-1.2","-2.21"
="8215","明基材","38.6","+4.18","+3.76","+2.25","-0.39","+2.39","+6.48","+49.3","+38.8","39","39.05","42.4","42.4","42.4","43.5","43.5","37.05","37.05","35","35","30.1","24.5","21.15","12.8","3.47","-0.21","-0.21"
="8289","泰藝","38.9","-3.95","+0.26","-2.63","-5.01","+29.7","+21.4","+113","+234","41.25","41.7","46.2","46.2","46.2","46.2","46.2","38.35","38.35","35.85","29.85","26.2","17.75","11.4","-4.44","-4.88","0","-1.04"
="8358","金居","75.2","-1.31","-1.05","-0.4","-4.45","-2.34","+4.16","-8.85","+68.2","78.5","78.5","79.7","87.8","87.8","92.9","92.9","75.2","75.2","74.2","74.2","62.4","62.4","41.6","-14.1","-15.8","+2.91","+2.85"
="8450","霹靂","36.15","-0.82","+1.12","+6.17","0","+57.5","+55.5","+48.2","+50.3","38.45","38.45","40.75","40.75","40.75","40.75","40.75","33.05","32","32","22.75","22.3","22.3","20.8","0.62","0.62","-0.44","+1.15"
="8478","東哥遊艇","139.5","+1.45","+22.4","+29.8","+18.7","+63.3","+69.5","+146","+120","149","149","149","149","149","149","149","117","107.5","105","85.4","75.8","55.3","39.25","4.12","5.24","+0.67","+1.94"
="9904","寶成","34","+0.15","+3.03","+4.62","+0.15","-2.58","+4.62","-8.97","+8.45","34.25","34.25","34.25","35.3","35.8","40.5","40.5","32.8","32.4","32.05","32.05","31.8","31.55","27.85","3.5","-8.56","-0.05","-0.05"
="9910","豐泰","229.5","+2.46","+11.7","+13.6","+9.81","+0.66","+6.5","-3.16","+21.1","231","231","231","231","231","254.5","254.5","204","201","200.5","200.5","193.5","193.5","178","37.8","26.8","+2.11","+2.97"
="9933","中鼎","35.95","-0.14","-0.14","+0.28","-1.24","-0.28","+1.99","-5.52","-5.64","36.2","36.2","36.4","37.6","37.6","39.8","41.55","35.8","35.8","35.6","35.6","35.05","35.05","34.9","-30.9","-32.6","0","0"
