"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="5880","合庫金","23.9","+0.21","+0.63","+1.49","0","0","+4.82","+8.39","+13","+18.3","22.65","21.6","20.8","19.15","23.95","-0.23","-1.53","+0.22","+1.45"
="6104","創惟","185.5","-4.38","+1.64","+0.27","+2.49","-2.37","+30.6","+17.8","+203","+151","131.5","112","58.8","48","204.5","-5.53","-0.06","-1.81","-0.32"
="6138","茂達","254","-5.22","-1.36","-0.78","+4.74","+6.5","+37.3","+39.9","+77.6","+192","173","140.5","134.5","78.2","278.5","-2.13","-2.26","-0.24","-2.26"
="6182","合晶","85.4","-1.5","+4.4","+0.59","+7.15","+26.1","+30.4","+24.1","+62","+121","63.4","54.5","49.3","37.6","88.4","1.17","0.15","-0.6","+2.66"
="6191","精成科","37.7","-1.31","+0.13","+2.45","-1.69","-0.4","+5.9","+13.9","+17.6","+56.1","35.7","30","30","23.2","41","2.58","-3.15","+0.11","+0.08"
="6196","帆宣","152.5","-1.61","+0.66","+4.81","+0.99","-0.65","+30.9","+34.4","+46.6","+34.4","115","104","99","87","165","4.95","8.08","+2","+1.33"
="6205","詮欣","55","-3.51","-0.9","+8.91","+11","+11.8","+30.6","+81.5","+78","+10.4","39.25","29.6","28.5","27.15","57.8","-5.48","-3.95","+2.45","+0.47"
="6235","華孚","25.15","+5.23","+15.6","+27","+20.6","+32.4","+35.6","+40.1","+35.9","+50.1","18.55","15.8","15.8","15.3","26","-0.28","-0.37","+3.31","+3.3"
="6243","迅杰","71","+9.91","+20.7","+24.3","+28.2","+58","","+233","+325","+453","41.85","15.7","15.65","12.65","71","0.72","0.4","+7.18","+5.53"
="6265","方土昶","17.4","+9.78","+10.8","+12.6","+3.26","+34.4","+61.9","+43.2","+105","+156","10.8","9.64","8","6.72","17.9","-0.45","0","+0.16","-2.71"
="6271","同欣電","291.5","-1.85","-4.89","-3.48","-5.36","-2.35","+7.96","+14.5","+58.9","+53","262.5","208","175","145","323.5","2.01","9.32","+1.61","+3.54"
="6446","藥華藥","240","+1.48","+6.43","+17.1","+23.1","+52.9","+148","+166","+177","+161","90.1","69","69","69","248","-7.86","-5.56","",""
="6603","富強鑫","19.45","-3.23","-1.27","+2.37","0","+14.1","+15.8","+28.4","+55","+61.4","16.2","14.3","11.85","10.95","20.7","11.5","6.06","+0.59","-1.02"
="8046","南電","590","-2.96","-5.75","+1.03","+1.9","+7.66","+12.2","+42.9","+75.9","+232","508","388.5","329.5","166.5","631","-1.47","0.55","-1.13","+0.27"
="8069","元太","118","-3.28","-5.98","-4.07","-4.84","+10.8","+26.7","+55.7","+79.3","+177","87.3","64.2","60.7","41.85","131","0.04","1.14","-0.3","-1.12"
="8121","越峰","54","-1.82","-2.17","-0.18","-5.1","+4.85","+22.6","+116","+230","+192","45.1","26.75","15.55","13.75","58.7","-4.99","-2.03","",""
="8163","達方","48.65","+3.18","+4.62","+6.22","+5.53","+12.5","+16.4","+8.72","+13.7","+11.6","41.9","38.7","38.7","37.85","52.9","4.55","3.19","+0.61","+0.33"
="8183","精星","69.4","+1.02","+11","+13.8","+9.29","+27.1","+41.6","+59.5","+52.9","+246","45.05","34.15","34.15","18","73","-1.25","-0.79","+3.4","+3.32"
